,index,Timestamp,ADF,Brand,FV Full Plato,Plato,Fermentation ID
0,889,2017-03-23 11:10:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 31201732314856
1,951,2017-03-23 21:30:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 31201732314856
2,967,2017-03-24 00:10:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 31201732314856
3,984,2017-03-24 03:00:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 31201732314856
4,1051,2017-03-24 14:10:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 31201732314856
5,1112,2017-03-25 00:20:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 31201732314856
6,1183,2017-03-25 12:10:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 31201732314856
7,3210,2017-04-08 14:00:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 3120174824961
8,3272,2017-04-09 00:20:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 3120174824961
9,3287,2017-04-09 02:50:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 3120174824961
10,3305,2017-04-09 05:50:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 3120174824961
11,3372,2017-04-09 17:00:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 3120174824961
12,3432,2017-04-10 03:00:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 3120174824961
13,3503,2017-04-10 14:50:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 3120174824961
14,4738,2017-04-19 04:40:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 3120174824961
15,4800,2017-04-19 15:00:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 3120174824961
16,4815,2017-04-19 17:30:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 3120174824961
17,4833,2017-04-19 20:30:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 3120174824961
18,4899,2017-04-20 07:30:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 3120174824961
19,4990,2017-04-20 22:40:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 3120174824961
20,5031,2017-04-21 05:30:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 3120174824961
21,6614,2017-05-02 05:20:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 3120175179865
22,6676,2017-05-02 15:40:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 3120175179865
23,6691,2017-05-02 18:10:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 3120175179865
24,6708,2017-05-02 21:00:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 3120175179865
25,6775,2017-05-03 08:10:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 3120175179865
26,6836,2017-05-03 18:20:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 3120175179865
27,6907,2017-05-04 06:10:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 3120175179865
28,8774,2017-05-17 05:20:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 31201751679861
29,8836,2017-05-17 15:40:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 31201751679861
30,8851,2017-05-17 18:10:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 31201751679861
31,8869,2017-05-17 21:10:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 31201751679861
32,8935,2017-05-18 08:10:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 31201751679861
