,index,Timestamp,ADF,Brand,FV Full Plato,Plato,Fermentation ID
0,8888,2017-03-23 11:08:00,0,Realtime Hops,13.51553,0,Fermentor 31201732314856
1,9506,2017-03-23 21:26:00,0.104733542,Realtime Hops,13.51553,12.1,Fermentor 31201732314856
2,9663,2017-03-24 00:03:00,0.141728014,Realtime Hops,13.51553,11.6,Fermentor 31201732314856
3,9837,2017-03-24 02:57:00,0.186121419,Realtime Hops,13.51553,11,Fermentor 31201732314856
4,10507,2017-03-24 14:07:00,0.378492743,Realtime Hops,13.51553,8.4,Fermentor 31201732314856
5,11111,2017-03-25 00:11:00,0.5782629,Realtime Hops,13.51553,5.7,Fermentor 31201732314856
6,11822,2017-03-25 12:02:00,0.71884197,Realtime Hops,13.51553,3.8,Fermentor 31201732314856
7,45895,2017-03-29 03:54:00,0,Alistair,10.81004,0,FV322016113055113
8,46374,2017-03-29 11:53:00,0.111936688,Alistair,10.81004,9.6,FV322016113055113
9,46893,2017-03-29 20:32:00,0.25069657,Alistair,10.81004,8.1,FV322016113055113
10,47108,2017-03-30 00:07:00,0.333952546,Alistair,10.81004,7.2,FV322016113055113
11,47738,2017-03-30 10:37:00,0.592970967,Alistair,10.81004,4.4,FV322016113055113
12,48588,2017-03-31 00:47:00,0.7687335,Alistair,10.81004,2.5,FV322016113055113
13,59099,2017-03-18 07:57:00,0,Kerberos,14.6819,0,Fermentor 3320173183371
14,59369,2017-03-18 12:27:00,0.0328227431,Kerberos,14.6819,14.2,Fermentor 3320173183371
15,59698,2017-03-18 17:56:00,0.134989351,Kerberos,14.6819,12.7,Fermentor 3320173183371
16,60109,2017-03-19 00:47:00,0.2099115,Kerberos,14.6819,11.6,Fermentor 3320173183371
17,60838,2017-03-19 12:56:00,0.4142447,Kerberos,14.6819,8.6,Fermentor 3320173183371
18,61559,2017-03-20 00:57:00,0.59814465,Kerberos,14.6819,5.9,Fermentor 3320173183371
19,62359,2017-03-20 14:17:00,0.65944463,Kerberos,14.6819,5,Fermentor 3320173183371
20,82309,2017-04-03 10:47:00,0,Kerberos,14.6819,0,Fermentor 3320173183371
21,82579,2017-04-03 15:17:00,0.0328227431,Kerberos,14.6819,14.2,Fermentor 3320173183371
22,82904,2017-04-03 20:42:00,0.134989351,Kerberos,14.6819,12.7,Fermentor 3320173183371
23,83314,2017-04-04 03:32:00,0.2099115,Kerberos,14.6819,11.6,Fermentor 3320173183371
24,84044,2017-04-04 15:42:00,0.4142447,Kerberos,14.6819,8.6,Fermentor 3320173183371
25,84769,2017-04-05 03:47:00,0.59814465,Kerberos,14.6819,5.9,Fermentor 3320173183371
26,85569,2017-04-05 17:07:00,0.65944463,Kerberos,14.6819,5,Fermentor 3320173183371
27,101579,2017-03-27 19:56:00,0,Realtime Hops,0,0,FV342016112860676
28,102166,2017-03-28 05:43:00,0.059941683,Realtime Hops,13.5098,12.7,FV342016112860676
29,102872,2017-03-28 17:29:00,0.244992539,Realtime Hops,13.5098,10.2,FV342016112860676
30,103243,2017-03-28 23:40:00,0.363425046,Realtime Hops,13.5098,8.6,FV342016112860676
31,104085,2017-03-29 13:42:00,0.615094244,Realtime Hops,13.5098,5.2,FV342016112860676
32,104705,2017-03-30 00:02:00,0.726124763,Realtime Hops,13.5098,3.7,FV342016112860676
