time,adf,tdif,adfdif,A,B
37080,0.104733542,37080.0,0.104733542,13.51553,12.1
46500,0.141728014,9420.0,0.036994472000000014,13.51553,11.6
56940,0.186121419,10440.0,0.044393405,13.51553,11
97140,0.378492743,40200.0,0.192371324,13.51553,8.4
133380,0.5782629,36240.0,0.199770157,13.51553,5.7
176040,0.71884197,42660.0,0.14057907000000003,13.51553,3.8
35220,0.059941683,35220.0,0.059941683,13.5098,12.7
77580,0.244992539,42360.0,0.185050856,13.5098,10.2
99840,0.363425046,22260.0,0.11843250699999996,13.5098,8.6
150360,0.615094244,50520.0,0.25166919800000004,13.5098,5.2
187560,0.726124763,37200.0,0.11103051899999994,13.5098,3.7
18120,0.08176173,18120.0,0.08176173,13.50412,12.4
46980,0.14840804,28860.0,0.06664630999999999,13.50412,11.5
61920,0.215054333,14940.0,0.066646293,13.50412,10.6
106020,0.444613934,44100.0,0.229559601,13.50412,7.5
150180,0.6593632,44160.0,0.21474926600000005,13.50412,4.6
37260,0.104733542,37260.0,0.104733542,13.51553,12.1
46380,0.141728014,9120.0,0.036994472000000014,13.51553,11.6
56700,0.186121419,10320.0,0.044393405,13.51553,11
96900,0.378492743,40200.0,0.192371324,13.51553,8.4
133260,0.5782629,36360.0,0.199770157,13.51553,5.7
175800,0.71884197,42540.0,0.14057907000000003,13.51553,3.8
37200,0.104733542,37200.0,0.104733542,13.51553,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.51553,11.6
57000,0.186121419,10800.0,0.044393405,13.51553,11
96900,0.378492743,39900.0,0.192371324,13.51553,8.4
151500,0.5782629,54600.0,0.199770157,13.51553,5.7
175800,0.71884197,24300.0,0.14057907000000003,13.51553,3.8
35100,0.059941683,35100.0,0.059941683,13.5098,12.7
77400,0.244992539,42300.0,0.185050856,13.5098,10.2
99900,0.363425046,22500.0,0.11843250699999996,13.5098,8.6
37200,0.104733542,37200.0,0.104733542,13.51553,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.51553,11.6
56700,0.186121419,10500.0,0.044393405,13.51553,11
96900,0.378492743,40200.0,0.192371324,13.51553,8.4
133200,0.5782629,36300.0,0.199770157,13.51553,5.7
175800,0.71884197,42600.0,0.14057907000000003,13.51553,3.8
35160,0.059941683,35160.0,0.059941683,13.5098,12.7
77460,0.244992539,42300.0,0.185050856,13.5098,10.2
99960,0.363425046,22500.0,0.11843250699999996,13.5098,8.6
150360,0.615094244,50400.0,0.25166919800000004,13.5098,5.2
187560,0.726124763,37200.0,0.11103051899999994,13.5098,3.7
25200,0.08176173,25200.0,0.08176173,13.50412,12.4
54000,0.14840804,28800.0,0.06664630999999999,13.50412,11.5
68700,0.215054333,14700.0,0.066646293,13.50412,10.6
113100,0.444613934,44400.0,0.229559601,13.50412,7.5
157200,0.6593632,44100.0,0.21474926600000005,13.50412,4.6
37200,0.104733542,37200.0,0.104733542,13.51553,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.51553,11.6
57000,0.186121419,10800.0,0.044393405,13.51553,11
96900,0.378492743,39900.0,0.192371324,13.51553,8.4
133440,0.5782629,36540.0,0.199770157,13.51553,5.7
176040,0.71884197,42600.0,0.14057907000000003,13.51553,3.8
12960,0.04466313,12960.0,0.04466313,13.50309,12.9
22500,0.06688021,9540.0,0.022217079999999993,13.50309,12.6
40800,0.111314513,18300.0,0.04443430300000001,13.50309,12
55860,0.163154483,15060.0,0.051839969999999985,13.50309,11.3
117900,0.489005834,62040.0,0.32585135099999996,13.50309,6.9
144360,0.637120068,26460.0,0.148114234,13.50309,4.9
189060,0.7333944,44700.0,0.09627433200000002,13.50309,3.6
34800,0.059941683,34800.0,0.059941683,13.5098,12.7
77400,0.244992539,42600.0,0.185050856,13.5098,10.2
99600,0.363425046,22200.0,0.11843250699999996,13.5098,8.6
150000,0.615094244,50400.0,0.25166919800000004,13.5098,5.2
187440,0.726124763,37440.0,0.11103051899999994,13.5098,3.7
37200,0.104733542,37200.0,0.104733542,13.51553,12.1
46500,0.141728014,9300.0,0.036994472000000014,13.51553,11.6
57000,0.186121419,10500.0,0.044393405,13.51553,11
97200,0.378492743,40200.0,0.192371324,13.51553,8.4
133500,0.5782629,36300.0,0.199770157,13.51553,5.7
176100,0.71884197,42600.0,0.14057907000000003,13.51553,3.8
24900,0.08176173,24900.0,0.08176173,13.50412,12.4
54000,0.14840804,29100.0,0.06664630999999999,13.50412,11.5
68400,0.215054333,14400.0,0.066646293,13.50412,10.6
112800,0.444613934,44400.0,0.229559601,13.50412,7.5
156900,0.6593632,44100.0,0.21474926600000005,13.50412,4.6
34500,0.104136996,34500.0,0.104136996,13.50653,12.1
69600,0.23000209,35100.0,0.125865094,13.50653,10.4
21000,0.0524140671,21000.0,0.0524140671,13.50801,12.8
31200,0.07462312,10200.0,0.022209052899999998,13.50801,12.5
43500,0.1116382,12300.0,0.037015080000000006,13.50801,12
67200,0.1930714,23700.0,0.0814332,13.50801,10.9
104100,0.39295277,36900.0,0.19988137,13.50801,8.2
28500,0.08215933,28500.0,0.08215933,13.50997,12.4
43800,0.12657094,15300.0,0.04441160999999999,13.50997,11.8
49200,0.14877677,5400.0,0.02220583000000001,13.50997,11.5
85800,0.311619461,36600.0,0.16284269099999998,13.50997,9.3
121200,0.467060268,35400.0,0.15544080700000001,13.50997,7.2
13200,0.044662863,13200.0,0.044662863,13.5030861,12.9
22500,0.06687995,9300.0,0.022217086999999996,13.5030861,12.6
40800,0.111314267,18300.0,0.044434317,13.5030861,12
55800,0.163154244,15000.0,0.05183997700000001,13.5030861,11.3
118200,0.489005685,62400.0,0.325851441,13.5030861,6.9
144300,0.63712,26100.0,0.148114315,13.5030861,4.9
189000,0.733394265,44700.0,0.09627426500000003,13.5030861,3.6
28200,0.0821592659,28200.0,0.0821592659,13.5099688,12.4
43800,0.12657088,15600.0,0.044411614099999996,13.5099688,11.8
48900,0.14877671,5100.0,0.02220583000000001,13.5099688,11.5
85800,0.3116194,36900.0,0.16284268999999998,13.5099688,9.3
120900,0.4670602,35100.0,0.1554408,13.5099688,7.2
168900,0.689118445,48000.0,0.222058245,13.5099688,4.2
34500,0.104136996,34500.0,0.104136996,13.50653,12.1
69600,0.23000209,35100.0,0.125865094,13.50653,10.4
129300,0.58538574,59700.0,0.35538365,13.50653,5.6
156000,0.674231648,26700.0,0.08884590800000003,13.50653,4.4
31800,0.09639998,31800.0,0.09639998,13.501548800000002,12.2
57900,0.19268523199999998,26100.0,0.09628525199999999,13.501548800000002,10.9
103800,0.444508165,45900.0,0.251822933,13.501548800000002,7.5
147900,0.6741114,44100.0,0.22960323500000002,13.501548800000002,4.4
1500,0.01509401,1500.0,0.01509401,13.5038271,13.3
17400,0.06694829,17400.0,0.06694829,13.5040751,12.6
63300,0.2076466,45900.0,0.14069831,13.5040751,10.7
107400,0.4446121,44100.0,0.23696550000000002,13.5040751,7.5
153000,0.6815775629999999,45600.0,0.23696546299999993,13.5040751,4.3
44700,0.11890028400000001,44700.0,0.11890028400000001,13.5058489,11.9
60900,0.17813383,16200.0,0.059233545999999984,13.5058489,11.1
86100,0.40766403100000004,25200.0,0.22953020100000004,13.5058489,8.0
133200,0.5409396,47100.0,0.13327556899999993,13.5058489,6.2
174300,0.6964278,41100.0,0.15548820000000008,13.5058489,4.1
28200,0.05925934,28200.0,0.05925934,13.500001,12.7
39900,0.09629638,11700.0,0.03703704,13.500001,12.2
51000,0.133333415,11100.0,0.03703703500000001,13.500001,11.7
59700,0.170370445,8700.0,0.03703703,13.500001,11.2
47700,0.126439586,47700.0,0.126439586,13.5079384,11.8
90300,0.348531216,42600.0,0.22209162999999998,13.5079384,8.8
130200,0.585428953,39900.0,0.236897737,13.5079384,5.6
184500,0.7112809,54300.0,0.12585194700000002,13.5079384,3.9
37200,0.104733415,37200.0,0.104733415,13.5155277,12.1
46200,0.1417279,9000.0,0.036994484999999994,13.5155277,11.6
57000,0.186121315,10800.0,0.04439341500000002,13.5155277,11
96900,0.378492653,39900.0,0.192371338,13.5155277,8.4
133500,0.578262866,36600.0,0.19977021299999997,13.5155277,5.7
175800,0.7188419,42300.0,0.14057903400000005,13.5155277,3.8
35100,0.0599420145,35100.0,0.0599420145,13.5098047,12.7
77700,0.244992808,42600.0,0.1850507935,13.5098047,10.2
99900,0.363425255,22200.0,0.118432447,13.5098047,8.6
150300,0.615094364,50400.0,0.25166910899999995,13.5098047,5.2
24900,0.08176173,24900.0,0.08176173,13.50412,12.4
54000,0.14840804,29100.0,0.06664630999999999,13.50412,11.5
68700,0.215054333,14700.0,0.066646293,13.50412,10.6
113100,0.444613934,44400.0,0.229559601,13.50412,7.5
15600,0.0599420145,15600.0,0.0599420145,13.5098047,12.7
57900,0.244992808,42300.0,0.1850507935,13.5098047,10.2
80100,0.363425255,22200.0,0.118432447,13.5098047,8.6
25200,0.0817618,25200.0,0.0817618,13.5041208,12.4
54000,0.1484081,28800.0,0.06664629999999999,13.5041208,11.5
